facility_name,district,level,latitude,longitude
60 Kasese Municipality HSD Kilembe General,Katakwi,Hospital,,
22 Ntenjeru North HSD Kayunga General,Kayunga,Hospital,,
Kiboga General,Kiboga,Hospital,,
Rushere Community General,Kiruhura,Hospital,,
Kiryandongo General,Kiryandongo,Hospital,,
25 Bufumbira South HSD Kisoro General,Kisoro,Hospital,,
32 Bufumbira East HSD Mutolere General,Kisoro,Hospital,,
8 Kitgum Municipality HSD Kitgum General,Kitgum,Hospital,,
32 Kitgum Municipality HSD St. Joseph’s General,Kitgum,Hospital,,
Koboko General,Koboko,Hospital,,
Atutur General,Kumi,Hospital,,
Kumi General,Kumi,Hospital,,
Kumi Orthopaedic General,Kumi,Hospital,,
25 Mwenge North (Kyarusozi) HSD Kyenjojo General,Kyenjojo,Hospital,,
18 Lira Municipality HSD Lira (Lira RR,Lira,Hospital,,
25 Lira Municipality HSD Lira Regional Referral,Lira,Hospital,,
26 Erute North HSD Lira University General,Lira,Hospital,,
5 Katikamu North HSD Bishop Ascili General,Luwero,Hospital,,
6 Katikamu South HSD Bombo General Military General,Luwero,Hospital,,
Lyantonde General,Lyantonde,Hospital,,
Maracha General,Maracha,Hospital,,
27Masaka Municipality HSD Masaka (Kitovu,Masaka,Hospital,,
31 Masaka Municipality HSD Masaka Regional Referral,Masaka,Hospital,,
41Masaka Municipality HSD St. Joseph Kitovu General,Masaka,Hospital,,
27 Masindi Municipality HSD Masindi General General,Masindi,Hospital,,
10 Bunya West HSD Buluba General,Mayuge,Hospital,,
18 Mbale Municipality HSD Cure Childrenâ€™s General,Mbale,Hospital,,
33Mbale Municipality HSD Mbale (Mbale,Mbale,Hospital,,
37 Mbale Municipality HSD Mbale Regional Referral,Mbale,Hospital,,
39 Mbale Municipality HSD Mt. Elgon General,Mbale,Hospital,,
13 Mbarara Municipal Council HSD Devine Mercy General,Mbarara,Hospital,,
14 Mbarara Municipal Council HSD Holy Innocents Children’s General,Mbarara,Hospital,,
39 Mbarara Municipal Council HSD Mayanja Memorial General,Mbarara,Hospital,,
41 Mbarara Municipal Council HSD Mbarara Community General,Mbarara,Hospital,,
46 Mbarara Municipal Council HSD Mbarara Regional Referral,Mbarara,Hospital,,
63Mbarara Municipal Council HSD Ruharo Mission General,Mbarara,Hospital,,
38 Mityana South HSD Mityana General,Mityana,Hospital,,
13 Moroto Municipality HSD Moroto Regional Referral,Moroto,Hospital,,
33 West Moyo HSD Moyo General,Moyo,Hospital,,
32 Mawokota South HSD Nkozi General,Mpigi,Hospital,,
64 Mubende Municipality HSD Mubende Regional Referral,Mubende,Hospital,,
89 Mubende Municipality HSD True Vine General,Mubende,Hospital,,
Naggalama General,Mukono,Hospital,,
90 Mukono Municipality HSD Uganda Matyrs General,Mukono,Hospital,,
Kiwoko General,Nakaseke,Hospital,,
Nakaseke General,Nakaseke,Hospital,,
Nakasongola Military General,Nakasongola,Hospital,,
Matany General,Napak,Hospital,,
Angal General,Nebbi,Hospital,,
Nebbi General,Nebbi,Hospital,,
20Padyere HSD Nebbi (Angal,Nebbi,Hospital,,
Ngora Freda Carr General,Ngora,Hospital,,
Itojo General,Ntungamo,Hospital,,
Anaka General,Nwoya,Hospital,,
3 Oyam North HSD Aber General,Oyam,Hospital,,
Kanginima General,Pallisa,Hospital,,
Pallisa General,Pallisa,Hospital,,
Kalisizo General,Rakai,Hospital,,
Rakai General,Rakai,Hospital,,
Kisiizi General,Rukungiri,Hospital,,
59 Rukungiri Municipality HSD Nyakibale General,Rukungiri,Hospital,,
Bamu General,Sembabule,Hospital,,
18 Sheema South HSD Kitagata General,Sheema,Hospital,,
9 Soroti Municipality HSD Bethesda General,Soroti,Hospital,,
43 Soroti Municipality HSD Soroti Regional Referral,Soroti,Hospital,,
6 Tororo Municipality HSD Benedictine Eye General,Tororo,Hospital,,
12 Tororo Municipality HSD Divine Mercy General,Tororo,Hospital,,
17 Tororo Municipality HSD Geel General,Tororo,Hospital,,
27 Tororo Municipality HSD Jrc Medical Chambers General,Tororo,Hospital,,
99 West Budama South HSD Rubongi Military General,Tororo,Hospital,,
108 Tororo Municipality HSD St. Anthony’s General,Tororo,Hospital,,
114 Tororo Municipality HSD Tororo General,Tororo,Hospital,,
59 Busiro South HSD Corsu Rehabilitation General,Wakiso,Hospital,,
68 Kyadondo South HSD Doctors,Wakiso,Hospital,,
74 Entebbe Municipality HSD Entebbe General,Wakiso,Hospital,,
84 Kyadondo East HSD Family Care General,Wakiso,Hospital,,
179 Busiro South HSD Kisubi General,Wakiso,Hospital,,
199 Kyadondo South HSD Le Memorial medical services General,Wakiso,Hospital,,
205 Kyadondo East HSD Life Link General,Wakiso,Hospital,,
240 Busiro North HSD Medik General,Wakiso,Hospital,,
323 Kyadondo North HSD Ruth GayLord General,Wakiso,Hospital,,
327 Kyadondo East HSD Saidina Abubakar Islamic General,Wakiso,Hospital,,
Yumbe General,Yumbe,Hospital,,
Nyapea General,Zombo,Hospital,,
